benchmark,suite,model,cell,method,preset,scope,seed,checkpoint,episodes,successes,success_rate,ci_low,ci_high,mean_subtasks,mean_progress
calvin,ABC_D,xvla,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,2toINF/X-VLA-Calvin-ABC_D,1000,741,74.1,71.3,76.72,4.278,
calvin,ABC_D,xvla,rtn-W3-e2e,rtn,W3,e2e,0,2toINF/X-VLA-Calvin-ABC_D,1000,697,69.7,66.78,72.47,4.128,
calvin,ABC_D,xvla,rtn-W4-e2e,rtn,W4,e2e,0,2toINF/X-VLA-Calvin-ABC_D,1000,715,71.5,68.62,74.21,4.197,
calvin,ABC_D,xvla,rtn-W4A4-ah,rtn,W4A4,ah,0,2toINF/X-VLA-Calvin-ABC_D,300,0,0.0,0.0,1.26,0.0,
calvin,ABC_D,xvla,rtn-W4A4-e2e,rtn,W4A4,e2e,0,2toINF/X-VLA-Calvin-ABC_D,300,0,0.0,0.0,1.26,0.0,
calvin,ABC_D,xvla,rtn-W4A4-llm,rtn,W4A4,llm,0,2toINF/X-VLA-Calvin-ABC_D,300,125,41.67,36.23,47.32,3.017,
calvin,ABC_D,xvla,rtn-W4A4-ve,rtn,W4A4,ve,0,2toINF/X-VLA-Calvin-ABC_D,300,143,47.67,42.08,53.31,3.48,
calvin,ABC_D,xvla,rtn-W4A8-e2e,rtn,W4A8,e2e,0,2toINF/X-VLA-Calvin-ABC_D,1000,720,72.0,69.14,74.69,4.196,
calvin,ABC_D,xvla,rtn-W8-e2e,rtn,W8,e2e,0,2toINF/X-VLA-Calvin-ABC_D,1000,735,73.5,70.68,76.14,4.249,
calvin,ABC_D,xvla,rtn-W8A8-e2e,rtn,W8A8,e2e,0,2toINF/X-VLA-Calvin-ABC_D,1000,740,74.0,71.19,76.62,4.266,
libero,libero_10,openvla_oft,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,moojink/openvla-7b-oft-finetuned-libero-10,200,185,92.5,88.0,95.4,,
libero,libero_10,openvla_oft,rtn-W3-e2e,rtn,W3,e2e,0,moojink/openvla-7b-oft-finetuned-libero-10,200,16,8.0,4.98,12.6,,
libero,libero_10,openvla_oft,rtn-W4-e2e,rtn,W4,e2e,0,moojink/openvla-7b-oft-finetuned-libero-10,200,177,88.5,83.34,92.21,,
libero,libero_10,openvla_oft,rtn-W4A4-e2e,rtn,W4A4,e2e,0,moojink/openvla-7b-oft-finetuned-libero-10,200,0,0.0,0.0,1.88,,
libero,libero_10,openvla_oft,rtn-W4A8-e2e,rtn,W4A8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-10,200,152,76.0,69.63,81.39,,
libero,libero_10,openvla_oft,rtn-W8-e2e,rtn,W8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-10,200,187,93.5,89.2,96.16,,
libero,libero_10,openvla_oft,rtn-W8A8-e2e,rtn,W8A8,e2e,0,moojink/openvla-7b-oft-finetuned-libero-10,200,128,64.0,57.14,70.33,,
libero,libero_10,pi0,rtn-BASELINE-e2e,rtn,BASELINE,e2e,0,lerobot/pi0_libero_finetuned_v044,200,97,48.5,41.67,55.39,,
libero,libero_10,pi0,rtn-W3-e2e,rtn,W3,e2e,0,lerobot/pi0_libero_finetuned_v044,200,80,40.0,33.46,46.92,,
libero,libero_10,pi0,rtn-W4-e2e,rtn,W4,e2e,0,lerobot/pi0_libero_finetuned_v044,200,82,41.0,34.42,47.92,,
libero,libero_10,pi0,rtn-W4A4-e2e,rtn,W4A4,e2e,0,lerobot/pi0_libero_finetuned_v044,200,62,31.0,25.0,37.72,,
libero,libero_10,pi0,rtn-W4A8-e2e,rtn,W4A8,e2e,0,lerobot/pi0_libero_finetuned_v044,200,82,41.0,34.42,47.92,,
libero,libero_10,pi0,rtn-W8-e2e,rtn,W8,e2e,0,lerobot/pi0_libero_finetuned_v044,200,95,47.5,40.69,54.4,,
libero,libero_10,pi0,rtn-W8A8-e2e,rtn,W8A8,e2e,0,lerobot/pi0_libero_finetuned_v044,200,90,45.0,38.26,51.92,,
